动量周期,持仓数量,年化收益率,年化波动率,夏普比率,最大回撤,Calmar比率,日胜率,累计收益率
20,1,0.11569805398510535,0.25231820861835086,0.4585402481202094,-0.33964355448287,0.34064551633038753,0.4879725085910653,0.8815919582846088
20,2,0.09453028728455859,0.20087181916641925,0.4706000457248893,-0.34745175117714977,0.2720673790369297,0.5037800687285223,0.6845881865790122
20,3,0.10869320056260245,0.1756994236608321,0.6186315145371359,-0.2601466168530219,0.4178151608406737,0.5092783505154639,0.8143973218357095
60,1,0.047576684939375724,0.24756190702095104,0.19218095995418766,-0.49815045212068776,0.09550665815284504,0.4838487972508591,0.3078233997887221
60,2,0.004599367718807645,0.2046452359270598,0.022474834060866995,-0.41100953750077773,0.011190416034564507,0.49140893470790376,0.02684910236295379
60,3,0.039074253947847915,0.17377016421981928,0.22486169661679653,-0.35537232528140117,0.10995300187460295,0.51340206185567,0.24771157943729016
120,1,0.08049052168027249,0.21786514179310673,0.36945112475454855,-0.26349189337303947,0.3054762734818478,0.47147766323024054,0.5635833160416044
120,2,0.0930694083022352,0.172611147900967,0.5391853853821328,-0.17485955626343308,0.5322523417709143,0.47903780068728524,0.6716474440876385
120,3,0.10760232730148322,0.15130480289580245,0.7111626679530103,-0.23043164051065446,0.46695986307708476,0.49072164948453606,0.8041138948649116
